Buyer_ID,Buyer_Name,Gender,Age,Occupation,Marital_Status,City,State
95,Ananya,Male,40,Student,Single,Chennai,Tamil Nadu
96,Ananya,Female,31,Business,Married,Bangalore,Maharashtra
97,Diya,Male,44,Doctor,Single,Delhi,Tamil Nadu
98,Sneha,Male,46,Doctor,Single,Delhi,West Bengal
99,Ananya,Male,56,Teacher,Married,Kolkata,Tamil Nadu
100,Vikram,Male,56,Student,Single,Bangalore,Delhi
101,Manish,Female,18,Business,Single,Mumbai,Maharashtra
102,Diya,Male,34,Student,Married,Kolkata,Maharashtra
103,Diya,Female,58,Doctor,Married,Bangalore,Karnataka
104,Sneha,Male,47,Student,Married,Chennai,West Bengal
105,Diya,Male,30,Business,Married,Chennai,Maharashtra
106,Diya,Male,38,Teacher,Married,Delhi,Delhi
107,Ananya,Female,36,IT Employee,Married,Mumbai,Tamil Nadu
108,Sneha,Male,36,Student,Married,Chennai,Maharashtra
109,Ananya,Female,42,IT Employee,Single,Bangalore,Delhi
110,Manish,Female,39,Doctor,Single,Bangalore,Tamil Nadu
111,Priya,Female,48,Teacher,Married,Chennai,Karnataka
112,Manish,Female,34,Teacher,Single,Bangalore,Maharashtra
113,Priya,Female,40,Student,Single,Bangalore,Maharashtra
114,Ananya,Female,49,Teacher,Married,Delhi,Delhi
115,Manish,Female,27,Student,Single,Mumbai,West Bengal
116,Sneha,Female,27,Student,Married,Delhi,Karnataka
117,Aarav,Female,53,IT Employee,Single,Mumbai,West Bengal
118,Ananya,Male,25,Teacher,Married,Bangalore,Maharashtra
119,Daniel,Male,37,Student,Single,Mumbai,West Bengal
120,Vikram,Male,38,IT Employee,Single,Bangalore,Tamil Nadu
121,Priya,Male,31,Business,Single,Bangalore,Karnataka
122,Vikram,Male,45,IT Employee,Married,Delhi,West Bengal
123,Diya,Female,41,IT Employee,Single,Delhi,Delhi
124,Manish,Female,32,Student,Single,Kolkata,Delhi
125,Vikram,Female,39,Doctor,Married,Chennai,West Bengal
126,Priya,Female,47,Doctor,Married,Kolkata,Karnataka
127,Diya,Female,21,Doctor,Single,Kolkata,Tamil Nadu
128,Aarav,Female,30,IT Employee,Single,Mumbai,West Bengal
129,Sneha,Female,40,Student,Single,Bangalore,Delhi
130,Sneha,Male,25,Teacher,Single,Bangalore,West Bengal
131,Sneha,Male,35,IT Employee,Married,Bangalore,Tamil Nadu
132,Vikram,Male,29,IT Employee,Single,Chennai,West Bengal
133,Aarav,Male,48,Student,Single,Mumbai,Karnataka
134,Vikram,Female,31,Business,Married,Mumbai,Maharashtra
135,Manish,Female,51,IT Employee,Single,Bangalore,Tamil Nadu
136,Vikram,Female,35,Business,Single,Kolkata,Tamil Nadu
137,Aarav,Male,51,Business,Single,Chennai,Tamil Nadu
138,Aarav,Female,28,Doctor,Married,Kolkata,Tamil Nadu
139,Manish,Female,58,Student,Married,Delhi,West Bengal
140,Aarav,Female,29,Business,Single,Mumbai,Karnataka
141,Priya,Male,32,Student,Single,Mumbai,Delhi
142,Sugana,Female,48,Doctor,Married,Kolkata,Karnataka
143,Sneha,Male,46,Student,Single,Chennai,Delhi
144,Priya,Male,43,IT Employee,Single,Mumbai,West Bengal
145,Priya,Male,35,Business,Married,Kolkata,West Bengal
146,Manish,Male,49,Student,Married,Chennai,Tamil Nadu
147,Raj,Female,39,Teacher,Married,Kolkata,West Bengal
148,Raj,Male,55,Student,Single,Chennai,Tamil Nadu
149,Aarav,Male,34,IT Employee,Single,Bangalore,Karnataka
150,Priya,Female,40,Doctor,Single,Chennai,Maharashtra
151,Raj,Female,41,Doctor,Single,Delhi,West Bengal
152,Raj,Male,25,Business,Married,Bangalore,Tamil Nadu
153,Aarav,Female,58,IT Employee,Single,Kolkata,Tamil Nadu
154,Raj,Male,23,IT Employee,Single,Bangalore,West Bengal
155,Vikram,Male,22,Doctor,Married,Bangalore,Delhi
156,Diya,Male,46,Doctor,Married,Kolkata,Tamil Nadu
157,Manish,Male,45,Business,Single,Kolkata,West Bengal
158,Diya,Female,28,IT Employee,Married,Delhi,Tamil Nadu
159,Aarav,Male,18,Doctor,Married,Kolkata,Delhi
160,Sneha,Female,36,IT Employee,Single,Mumbai,Maharashtra
161,Manish,Female,26,Doctor,Single,Mumbai,Delhi
162,Aarav,Female,44,Student,Single,Delhi,Karnataka
163,Priya,Female,51,IT Employee,Single,Chennai,West Bengal
164,Sneha,Male,21,Student,Married,Chennai,Delhi
165,Diya,Female,53,Doctor,Married,Mumbai,Maharashtra
166,Aarav,Male,35,Teacher,Single,Kolkata,Tamil Nadu
167,Priya,Female,32,Teacher,Single,Delhi,West Bengal
168,Manish,Female,30,Doctor,Married,Chennai,Delhi
169,Manish,Male,36,Doctor,Single,Chennai,Maharashtra
170,Ananya,Male,23,IT Employee,Single,Bangalore,Delhi
171,Priya,Male,29,Doctor,Single,Mumbai,Karnataka
172,Vikram,Female,54,Business,Single,Kolkata,West Bengal
173,Raj,Female,34,Doctor,Married,Delhi,Tamil Nadu
174,Sneha,Male,40,Business,Single,Chennai,Maharashtra
175,Priya,Male,43,Doctor,Married,Bangalore,Delhi
176,Ananya,Male,46,IT Employee,Single,Mumbai,West Bengal
177,Raj,Male,50,Business,Single,Mumbai,Delhi
178,Raj,Female,44,Student,Married,Delhi,West Bengal
179,Aarav,Male,42,Business,Single,Chennai,Karnataka
180,Raj,Male,27,IT Employee,Married,Delhi,Delhi
181,Vikram,Male,40,Business,Single,Delhi,Karnataka
182,Manish,Male,38,Doctor,Single,Bangalore,Maharashtra
183,Ananya,Female,38,Doctor,Single,Mumbai,Karnataka
184,Raj,Male,30,IT Employee,Single,Kolkata,West Bengal
185,Aarav,Female,54,Teacher,Single,Mumbai,Maharashtra
186,Vikram,Male,50,Doctor,Married,Mumbai,Delhi
187,Diya,Male,41,Student,Married,Bangalore,Delhi
188,Manish,Female,28,IT Employee,Single,Kolkata,West Bengal
189,Manish,Male,34,Business,Single,Chennai,Tamil Nadu
190,Ananya,Female,21,Business,Married,Kolkata,Tamil Nadu
191,Manish,Female,42,Student,Married,Chennai,Delhi
192,Raj,Male,47,Doctor,Single,Kolkata,West Bengal
193,Aarav,Female,26,IT Employee,Single,Delhi,Tamil Nadu
194,Manish,Female,38,Student,Married,Kolkata,Karnataka
195,Manish,Female,37,Doctor,Single,Bangalore,Delhi
196,Diya,Female,36,IT Employee,Married,Chennai,Karnataka
197,Diya,Female,36,Business,Single,Mumbai,West Bengal
198,Sneha,Female,29,IT Employee,Married,Bangalore,Karnataka
199,Vikram,Female,54,Teacher,Married,Chennai,Tamil Nadu
200,Raj,Female,59,IT Employee,Single,Chennai,Tamil Nadu
201,Manish,Male,34,Teacher,Married,Mumbai,Maharashtra
202,Priya,Male,54,IT Employee,Single,Delhi,Delhi
203,Manish,Female,56,Teacher,Single,Bangalore,West Bengal
204,Aarav,Male,45,Business,Single,Mumbai,Delhi
205,Sneha,Female,58,Doctor,Single,Mumbai,Karnataka
206,Vikram,Female,52,Teacher,Married,Delhi,West Bengal
207,Priya,Male,35,Teacher,Single,Bangalore,West Bengal
208,Sneha,Female,31,Business,Single,Mumbai,Tamil Nadu
209,Ananya,Female,52,Teacher,Single,Delhi,Karnataka
210,Vikram,Female,58,Student,Single,Bangalore,Tamil Nadu
211,Manish,Female,24,Business,Married,Kolkata,Tamil Nadu
212,Manish,Male,58,Student,Single,Chennai,Maharashtra
213,Vikram,Female,30,Business,Married,Delhi,Tamil Nadu
214,Manish,Female,35,Teacher,Married,Chennai,Delhi
215,Raj,Female,54,Student,Married,Kolkata,West Bengal
216,Vikram,Male,30,Teacher,Single,Mumbai,Tamil Nadu
217,Sneha,Female,53,Business,Single,Mumbai,Delhi
218,Vikram,Male,48,Teacher,Single,Bangalore,Karnataka
219,Priya,Male,19,Student,Single,Delhi,West Bengal
220,Manish,Female,33,Student,Married,Delhi,Karnataka
221,Raj,Female,26,Teacher,Married,Bangalore,Delhi
222,Raj,Male,26,IT Employee,Single,Chennai,Karnataka
223,Ananya,Female,55,Business,Single,Mumbai,Karnataka
224,Sneha,Male,28,Business,Single,Mumbai,Karnataka
225,Diya,Male,39,IT Employee,Single,Delhi,Tamil Nadu
226,Diya,Female,50,IT Employee,Single,Delhi,Tamil Nadu
227,Vikram,Female,53,Student,Single,Bangalore,Tamil Nadu
228,Ananya,Male,40,Doctor,Single,Kolkata,West Bengal
229,Aarav,Male,51,Doctor,Married,Chennai,Delhi
230,Vikram,Male,26,Teacher,Married,Kolkata,Tamil Nadu
231,Ananya,Male,41,IT Employee,Married,Kolkata,Karnataka
232,Sneha,Female,25,IT Employee,Married,Delhi,Karnataka
233,Sneha,Female,24,Business,Single,Delhi,Karnataka
234,Daisy,Female,53,Student,Single,Delhi,Karnataka
235,Ammu,Female,35,IT Employee,Single,Kolkata,Maharashtra
236,Sneha,Female,20,Doctor,Single,Chennai,West Bengal
237,Ananya,Male,45,Student,Single,Delhi,Delhi
238,Ananya,Female,23,Student,Married,Mumbai,Delhi
239,Raj,Female,38,Teacher,Single,Chennai,Tamil Nadu
240,Priya,Female,45,IT Employee,Married,Mumbai,Maharashtra
241,Diya,Female,57,Teacher,Single,Chennai,Delhi
242,Manish,Female,18,IT Employee,Married,Delhi,West Bengal
243,Sneha,Male,53,Business,Single,Bangalore,Karnataka
244,Aarav,Male,38,Teacher,Married,Delhi,Tamil Nadu
245,Manish,Male,52,Teacher,Single,Kolkata,West Bengal
246,Ananya,Female,30,Doctor,Single,Kolkata,Delhi
247,Andrew,Male,27,Teacher,Single,Chennai,Maharashtra
248,Aarav,Male,27,IT Employee,Single,Kolkata,Tamil Nadu
249,Aarav,Female,30,Doctor,Married,Delhi,Delhi
250,Raj,Female,54,Teacher,Single,Mumbai,Tamil Nadu
251,Ananya,Female,55,Teacher,Married,Delhi,Delhi
252,Aarav,Male,41,Business,Single,Chennai,Karnataka
253,Sneha,Male,19,Teacher,Married,Kolkata,Maharashtra
254,Vikram,Female,39,Student,Single,Mumbai,Karnataka
255,Aarav,Female,34,Doctor,Single,Bangalore,Delhi
256,Raj,Male,53,Student,Married,Mumbai,West Bengal
257,Manish,Male,31,Doctor,Single,Mumbai,Karnataka
258,Ananya,Female,27,Business,Single,Delhi,West Bengal
259,Priya,Female,52,Teacher,Married,Bangalore,Delhi
260,Raj,Male,42,Teacher,Single,Chennai,Maharashtra
261,Aarav,Female,20,Teacher,Married,Chennai,West Bengal
262,Ananya,Male,55,Doctor,Single,Mumbai,Delhi
263,Vikram,Male,34,Teacher,Married,Mumbai,West Bengal
264,Aarav,Male,29,Student,Married,Kolkata,Karnataka
265,Raj,Male,41,Teacher,Married,Bangalore,Delhi
266,Diya,Female,46,Business,Married,Mumbai,Karnataka
267,Joseph,Male,42,Student,Single,Kolkata,Tamil Nadu
268,Priya,Female,53,Teacher,Single,Bangalore,Delhi
269,Manish,Male,43,Teacher,Married,Chennai,West Bengal
270,Raj,Male,55,IT Employee,Single,Kolkata,Tamil Nadu
271,Ananya,Male,18,Doctor,Single,Bangalore,Karnataka
272,Priya,Male,37,Student,Single,Kolkata,Karnataka
273,Priya,Female,45,IT Employee,Married,Mumbai,West Bengal
274,Priya,Female,33,Business,Single,Delhi,Tamil Nadu
275,Aarav,Female,34,Doctor,Single,Chennai,Maharashtra
276,Sneha,Female,57,Student,Married,Mumbai,West Bengal
277,Aarav,Male,45,Teacher,Single,Mumbai,Karnataka
278,Ananya,Male,29,Student,Married,Bangalore,Delhi
279,Aarav,Male,44,Teacher,Married,Kolkata,Tamil Nadu
280,Diya,Male,59,Doctor,Married,Chennai,Maharashtra
281,Sneha,Male,47,Teacher,Single,Mumbai,Delhi
282,Sneha,Female,58,Business,Single,Bangalore,Tamil Nadu
283,Ananya,Male,51,Teacher,Married,Chennai,West Bengal
284,Manish,Female,54,Business,Married,Kolkata,West Bengal
285,Diya,Female,23,Doctor,Married,Mumbai,Tamil Nadu
286,Raj,Female,24,Doctor,Married,Mumbai,Maharashtra
287,Aarav,Female,49,Student,Married,Mumbai,Tamil Nadu
288,Joseph,Male,49,Business,Married,Chennai,Delhi
289,Aarav,Female,42,Business,Single,Chennai,Delhi
290,Priya,Female,50,IT Employee,Single,Chennai,West Bengal
291,Aarav,Female,24,IT Employee,Married,Chennai,Tamil Nadu
292,Raj,Male,29,IT Employee,Married,Bangalore,Delhi
293,Aarav,Male,33,Teacher,Single,Delhi,Maharashtra
294,Diya,Male,33,IT Employee,Single,Bangalore,Delhi
295,Diya,Female,53,Business,Single,Mumbai,Karnataka
296,Sneha,Female,30,Teacher,Single,Bangalore,Karnataka
297,Ananya,Male,24,Doctor,Married,Kolkata,Tamil Nadu
298,Manish,Female,53,Student,Single,Chennai,Tamil Nadu
299,Vikram,Male,26,IT Employee,Married,Kolkata,Karnataka
300,Priya,Male,49,IT Employee,Married,Kolkata,Tamil Nadu
301,Aarav,Female,28,Business,Married,Mumbai,Delhi
302,Aarav,Female,25,Student,Married,Chennai,Maharashtra
303,Raj,Female,50,Doctor,Married,Kolkata,Maharashtra
304,Ananya,Female,40,Student,Married,Mumbai,West Bengal
305,Diya,Male,42,IT Employee,Single,Chennai,Delhi
306,Vikram,Male,25,Business,Single,Delhi,Tamil Nadu
307,Sneha,Male,39,Student,Single,Mumbai,Tamil Nadu
308,Diya,Male,21,Doctor,Single,Bangalore,West Bengal
309,Priya,Male,57,IT Employee,Single,Chennai,West Bengal
310,Ananya,Female,20,IT Employee,Married,Kolkata,Tamil Nadu
311,Priya,Male,46,Doctor,Single,Kolkata,Tamil Nadu
312,Manish,Male,58,Doctor,Single,Bangalore,Delhi
313,Sneha,Male,46,Student,Single,Bangalore,West Bengal
314,Manish,Female,51,Teacher,Married,Kolkata,Delhi
315,Raj,Female,51,IT Employee,Married,Chennai,Tamil Nadu
316,Priya,Female,45,Student,Married,Mumbai,Karnataka
317,Raj,Female,30,Doctor,Single,Bangalore,Karnataka
318,Aarav,Male,32,Student,Single,Bangalore,Tamil Nadu
319,Manish,Male,40,Doctor,Single,Bangalore,West Bengal
320,Ananya,Female,43,Business,Single,Delhi,Karnataka
321,Priya,Female,21,Doctor,Single,Chennai,West Bengal
322,Vikram,Male,43,Doctor,Married,Chennai,Karnataka
323,Sneha,Male,57,Doctor,Single,Chennai,West Bengal
324,Diya,Female,26,Teacher,Married,Chennai,Karnataka
325,Ananya,Female,22,Doctor,Single,Chennai,West Bengal
326,Ananya,Female,49,IT Employee,Married,Kolkata,Delhi
327,Raj,Female,37,IT Employee,Married,Bangalore,West Bengal
328,Manish,Male,28,Student,Married,Kolkata,Delhi
329,Priya,Male,32,Teacher,Married,Delhi,Delhi
330,Priya,Male,49,Student,Single,Mumbai,Tamil Nadu
331,Aarav,Female,45,IT Employee,Single,Bangalore,Delhi
332,Aarav,Female,39,IT Employee,Single,Delhi,Maharashtra
333,Sneha,Male,58,Business,Married,Kolkata,Delhi
334,Raj,Male,34,Doctor,Single,Mumbai,West Bengal
335,Ananya,Male,43,IT Employee,Single,Delhi,Delhi
336,Priya,Male,24,Student,Single,Mumbai,West Bengal
337,Vikram,Female,59,Student,Single,Delhi,West Bengal
338,Raj,Male,43,Doctor,Married,Kolkata,Maharashtra
339,Sneha,Male,42,Doctor,Married,Mumbai,Delhi
340,Sneha,Male,27,Business,Single,Delhi,Delhi
341,Raj,Male,36,Teacher,Single,Kolkata,Karnataka
342,Sneha,Male,28,Student,Single,Bangalore,Karnataka
343,Raj,Male,30,Doctor,Married,Kolkata,Tamil Nadu
344,Diya,Male,25,Student,Married,Kolkata,West Bengal
345,Raj,Female,57,Doctor,Married,Bangalore,Maharashtra
346,Manish,Female,21,IT Employee,Single,Kolkata,Karnataka
347,Raj,Female,48,Student,Married,Bangalore,Delhi
348,Sneha,Female,45,IT Employee,Married,Bangalore,Tamil Nadu
349,Priya,Male,28,Student,Married,Bangalore,Maharashtra
350,Manish,Female,18,Teacher,Married,Delhi,Delhi
351,Sneha,Female,55,Business,Married,Mumbai,Delhi
352,Aarav,Male,41,IT Employee,Single,Delhi,West Bengal
353,Aarav,Male,48,Doctor,Single,Bangalore,West Bengal
354,Priya,Female,58,Teacher,Single,Mumbai,Karnataka
355,Priya,Female,43,Student,Single,Mumbai,Delhi
356,Manish,Male,22,IT Employee,Married,Bangalore,Delhi
357,Diya,Female,37,Student,Single,Mumbai,Delhi
358,Priya,Male,58,Student,Single,Mumbai,Karnataka
359,Thomas,Male,28,IT Employee,Single,Delhi,Karnataka
360,Raj,Male,50,Business,Married,Mumbai,Delhi
361,Sneha,Male,55,Business,Single,Bangalore,Maharashtra
362,Aarav,Female,44,Doctor,Married,Chennai,Delhi
363,Aarav,Male,51,IT Employee,Married,Chennai,Maharashtra
364,Diya,Male,32,Teacher,Married,Chennai,Maharashtra
365,Manish,Female,49,Teacher,Single,Bangalore,Delhi
366,Manish,Male,38,Teacher,Married,Bangalore,Tamil Nadu
367,Ananya,Female,22,Student,Single,Delhi,Karnataka
368,Diya,Female,23,Business,Single,Bangalore,West Bengal
369,Raj,Female,55,IT Employee,Single,Bangalore,Delhi
370,Manish,Male,39,Student,Married,Bangalore,Maharashtra
371,Sneha,Female,35,Business,Married,Mumbai,Delhi
372,Priya,Female,31,Business,Single,Mumbai,Karnataka
373,Diya,Male,27,IT Employee,Married,Mumbai,Maharashtra
374,Priya,Female,30,IT Employee,Married,Kolkata,West Bengal
375,Aarav,Female,48,IT Employee,Married,Delhi,West Bengal
376,Sneha,Female,47,Student,Single,Bangalore,West Bengal
377,Sneha,Female,20,Doctor,Married,Bangalore,Tamil Nadu
378,Aarav,Female,47,IT Employee,Married,Mumbai,Maharashtra
379,Diya,Male,23,Doctor,Single,Bangalore,Maharashtra
380,Aarav,Female,46,Student,Married,Bangalore,Tamil Nadu
381,Priya,Female,25,Doctor,Single,Chennai,Maharashtra
382,Ananya,Male,50,Teacher,Married,Bangalore,Tamil Nadu
383,Sneha,Male,34,Doctor,Married,Kolkata,Delhi
384,Vikram,Male,28,IT Employee,Married,Mumbai,Karnataka
385,Vikram,Female,30,Student,Married,Delhi,West Bengal
386,Priya,Male,28,IT Employee,Married,Delhi,Tamil Nadu
387,Raj,Female,48,Teacher,Married,Chennai,Tamil Nadu
388,Manish,Female,45,IT Employee,Single,Delhi,Tamil Nadu
389,Aarav,Male,23,IT Employee,Married,Delhi,Delhi
390,Aarav,Male,58,IT Employee,Married,Mumbai,Tamil Nadu
391,Raj,Female,33,Business,Married,Mumbai,Karnataka
392,Raj,Male,21,Teacher,Single,Kolkata,Karnataka
393,Priya,Female,52,IT Employee,Single,Chennai,West Bengal
394,Priya,Male,43,IT Employee,Single,Delhi,Delhi
395,Raj,Male,29,IT Employee,Married,Kolkata,Karnataka
396,Sneha,Male,28,Student,Married,Chennai,Maharashtra
397,Priya,Female,54,Business,Single,Delhi,Maharashtra
398,Ananya,Male,42,Student,Single,Delhi,Maharashtra
399,Priya,Female,35,Business,Single,Mumbai,Tamil Nadu
400,Aarav,Female,36,IT Employee,Married,Bangalore,Tamil Nadu
401,Priya,Female,40,Teacher,Single,Chennai,Maharashtra
402,Sneha,Female,55,Doctor,Married,Delhi,West Bengal
403,Raj,Male,35,Doctor,Married,Chennai,West Bengal
404,Aarav,Female,43,IT Employee,Married,Kolkata,Tamil Nadu
405,Priya,Female,23,Student,Single,Kolkata,Maharashtra
406,Sneha,Male,21,Teacher,Married,Bangalore,West Bengal
407,Ananya,Female,46,Business,Single,Delhi,Tamil Nadu
408,Priya,Male,51,IT Employee,Single,Mumbai,Maharashtra
409,Sneha,Female,34,Teacher,Single,Delhi,Delhi
410,Ananya,Male,33,Teacher,Single,Chennai,Maharashtra
411,Raj,Female,19,Business,Married,Kolkata,Maharashtra
412,Priya,Male,51,Teacher,Married,Chennai,Karnataka
413,Ananya,Female,25,Student,Married,Bangalore,Karnataka
414,Aarav,Female,30,Student,Married,Kolkata,Delhi
415,Raj,Male,59,Student,Single,Mumbai,Delhi
416,Aarav,Male,25,Teacher,Single,Kolkata,Maharashtra
417,Vikram,Male,47,Student,Single,Delhi,West Bengal
418,Diya,Male,49,Business,Single,Delhi,Delhi
419,Priya,Female,53,Teacher,Married,Kolkata,Maharashtra
420,Ananya,Female,47,Doctor,Single,Bangalore,Tamil Nadu
421,Diya,Male,18,Teacher,Married,Delhi,Karnataka
422,Diya,Female,56,Business,Single,Delhi,West Bengal
423,Ananya,Male,34,Doctor,Single,Mumbai,Maharashtra
424,Raj,Male,37,Teacher,Single,Kolkata,Tamil Nadu
425,Priya,Female,41,Student,Single,Delhi,Karnataka
426,Vikram,Female,39,IT Employee,Married,Bangalore,Tamil Nadu
427,Aarav,Female,46,IT Employee,Married,Chennai,Maharashtra
428,Sneha,Female,39,Student,Married,Kolkata,Delhi
429,Aarav,Female,26,IT Employee,Married,Mumbai,Karnataka
430,Sneha,Female,54,IT Employee,Single,Delhi,Tamil Nadu
431,Aarav,Female,27,Student,Single,Bangalore,Delhi
432,Ananya,Male,53,Student,Married,Kolkata,West Bengal
433,Vikram,Male,54,Teacher,Married,Bangalore,Maharashtra
434,Priya,Male,45,Teacher,Single,Bangalore,Maharashtra
435,Sneha,Male,45,Student,Single,Mumbai,Karnataka
436,Priya,Male,59,Business,Married,Kolkata,Tamil Nadu
437,Priya,Female,38,IT Employee,Married,Delhi,West Bengal
438,Priya,Male,41,Teacher,Married,Mumbai,Karnataka
439,Manish,Male,59,IT Employee,Single,Delhi,Karnataka
440,Raj,Male,57,Doctor,Married,Chennai,Tamil Nadu
441,Aarav,Male,19,Student,Married,Bangalore,West Bengal
442,Priya,Male,25,Business,Married,Chennai,Tamil Nadu
443,Aarav,Male,44,Doctor,Married,Bangalore,Maharashtra
444,Priya,Male,39,Doctor,Married,Mumbai,Delhi
445,Sneha,Female,54,Doctor,Single,Delhi,Maharashtra
446,Raj,Female,44,Student,Married,Delhi,Maharashtra
